Starting up http-server, serving ./

http-server version: 14.1.1

http-server settings:
CORS: disabled
Cache: 3600 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://127.0.0.1:8080
  http://192.168.0.2:8080
Hit CTRL-C to stop the server

[2026-05-28T04:45:03.216Z]  "GET /" "curl/8.5.0"
(node:127812) [DEP0066] DeprecationWarning: OutgoingMessage.prototype._headers is deprecated
(Use `node --trace-deprecation ...` to show where the warning was created)
[2026-05-28T04:51:08.132Z]  "GET /" "undefined"
[2026-05-28T04:51:08.139Z]  "GET /" "undefined"
[2026-05-28T04:51:14.370Z]  "GET /" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
[2026-05-28T04:51:14.381Z]  "GET /src/Game.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
[2026-05-28T04:51:14.406Z]  "GET /src/Player.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
[2026-05-28T04:51:14.408Z]  "GET /src/Ball.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
[2026-05-28T04:51:14.409Z]  "GET /src/Renderer.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
[2026-05-28T04:51:14.412Z]  "GET /src/Network.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
[2026-05-28T04:51:14.420Z]  "GET /src/AudioManager.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
[2026-05-28T04:52:31.409Z]  "GET /" "undefined"
[2026-05-28T04:52:31.416Z]  "GET /" "undefined"
[2026-05-28T04:52:32.487Z]  "GET /" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
[2026-05-28T04:52:32.495Z]  "GET /src/Game.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
[2026-05-28T04:52:32.504Z]  "GET /src/Player.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
[2026-05-28T04:52:32.505Z]  "GET /src/Ball.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
[2026-05-28T04:52:32.505Z]  "GET /src/Renderer.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
[2026-05-28T04:52:32.506Z]  "GET /src/Network.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
[2026-05-28T04:52:32.506Z]  "GET /src/AudioManager.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
[2026-05-28T04:54:12.584Z]  "GET /" "undefined"
[2026-05-28T04:54:12.590Z]  "GET /" "undefined"
[2026-05-28T04:54:44.401Z]  "GET /" "undefined"
[2026-05-28T04:54:44.408Z]  "GET /" "undefined"
[2026-05-28T04:54:45.596Z]  "GET /" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.96 Safari/537.36"
